Name,Source,UID
!BugGrabber,packaged-with,BugSack
!NoBetterBlizzOptions,git,git@github.com:PProvost/nobetterblizzoptions.git
AddonLoader,wowi,11476
Ampere,wowi,8530
Ara_Broker_SPEcSwitcher,wowi,13246
AtlasLoot,wowi,5541
AtlasLootFu,packaged-with,AtlasLoot
AtlasLoot_BurningCrusade,packaged-with,AtlasLoot
AtlasLoot_Crafting,packaged-with,AtlasLoot
AtlasLoot_OriginalWoW,packaged-with,AtlasLoot
AtlasLoot_WorldEvents,packaged-with,AtlasLoot
AtlasLoot_WrathoftheLichKing,packaged-with,AtlasLoot
Auctionator,wowi,8902
AutoText,svn,svn://quaiche@svn.curseforge.net/wow/autotext/mainline/trunk
Bagnon_Forever,packaged-with,Combuctor
Bagnon_Tooltips,packaged-with,Combuctor
BankStack,wowi,7761
Bimbo,git,git://github.com/tekkub/bimbo.git
Broker_Bags,git,git@github.com:PProvost/Broker_Bags.git
Broker_CombatLogToggle,git,git@github.com:PProvost/broker_combatlogtoggle.git
Broker_Group,wowi,10702
Broker_Mail,wowace,broker_mail
Broker_Professions,wowace,broker_professions
Broker_Recount,wowace,broker_recount
Buffet,wowi,8370
BugSack,wowi,5995
BulkMail2,wowace,bulk-mail2
BulkMail2Inbox,wowace,bulk-mail2inbox
ButtonFacade,wowace,buttonfacade
ButtonFacade_Caith,wowi,8869
caelNameplates,wowi,13961
CastYeller,wowace,cast-yeller
ChannelLock,git,git@github.com:PProvost/ChannelLock.git
ClosetGnome,wowace,closet-gnome
Combuctor,wowi,8113
Combuctor_Config,packaged-with,Combuctor
Combuctor_Sets,packaged-with,Combuctor
ControlFreak,wowi,7797
Cork,git,git://github.com/tekkub/cork.git
Cromulent,wowace,cromulent
Crossdresser,git,git://github.com/tekkub/Crossdresser.git
DayTrader,wowi,10427
Dominos,wowi,9085
Dominos_Buff,packaged-with,Dominos
Dominos_Cast,packaged-with,Dominos
Dominos_Config,packaged-with,Dominos
Dominos_Roll,packaged-with,Dominos
Dominos_Totems,packaged-with,Dominos
Dominos_XP,packaged-with,Dominos
DoubleWideTradeSkills,svn,svn://svn.curseforge.net/wow/double-wide-trade-skills/mainline/trunk
DrDamage,wowace,dr-damage
DungeonTimer,git,git@github.com:PProvost/DungeonTimer.git
DXE,wowace,deus-vox-encounters
DXE_Citadel,packaged-with,DXE
DXE_Coliseum,packaged-with,DXE
DXE_Loader,packaged-with,DXE
DXE_Kalimdor,packaged-with,DXE
